,index,isbn,book_title,book_author,year_of_publication,publisher,img_l,Summary,Category,Borrowed
92,92,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg,"Offers a whimsical critique of the Right, exposing their deceptive
practices, challenging conceptions about the media&#39;s liberal bias,
and identifying inconsistencies in the Bush administration.",Humor,138
93,93,0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg,"Richard Papen, a relatively impoverished student at a New England
college, falls in with an exclusive clique of rich, worldly Greek
scholars and soon learns the dreadful secret that keeps them together.
Reissue.",Fiction,157
94,94,0060013117,Night Watch,Terry Pratchett,2002,HarperCollins,http://images.amazon.com/images/P/0060013117.01.LZZZZZZZ.jpg,"He must track down a brutal murderer. He must find his younger self
and teach him everything he knows. He must whip the cowardly, despised
Night Watch into a crack fighting force -- fast. Because Sam Vimes
knows what&#39;s going to happen.",Fiction,32
95,95,0060391448,Wicked : The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995,HarperCollins,http://images.amazon.com/images/P/0060391448.01.LZZZZZZZ.jpg,"In Wicked, Gregory Maguire has taken the largely unknown world of Oz
and populated it with the power of his own imagination. Fast-paced,
fantastically real and supremely entertaining, this is a novel of
vision and re-vision.",Fiction,38
96,96,0061020699,Equal Rites (Discworld Novels (Paperback)),Terry Pratchett,2000,HarperTorch,http://images.amazon.com/images/P/0061020699.01.LZZZZZZZ.jpg,"Terry Pratchett&#39;s profoundly irreverent novels, consistent number
one bestsellers in England, have garnered him a revered position in
the halls of parody along with Mark Twain, Kurt Vonnegut, Douglas
Adams, and Carl Hiaasen.",Fiction,37
97,97,0061020702,The Light Fantastic (Discworld Novels (Paperback)),Terry Pratchett,2000,HarperTorch,http://images.amazon.com/images/P/0061020702.01.LZZZZZZZ.jpg,"Terry Pratchett&#39;s profoundly irreverent novels are consistent
number one bestsellers in England, where they have garnered him a
revered position in the halls of parody next to Mark Twain, Kurt
Vonnegut, Douglas Adams, and Carl Hiaasen.",Fiction,47
98,98,0061020710,The Color of Magic,Terry Pratchett,2000,HarperTorch,http://images.amazon.com/images/P/0061020710.01.LZZZZZZZ.jpg,"The Color of Magic is Terry Pratchett&#39;s maiden voyage through the
now-legendary land of Discworld. This is where it all begins--with the
tourist Twoflower and his wizard guide, Rincewind.",Fiction,100
99,99,0061092819,Together Alone,Barbara Delinsky,1996,HarperTorch,http://images.amazon.com/images/P/0061092819.01.LZZZZZZZ.jpg,"This is a romantic novel in the style of Danielle Steel, from the
author of &#39;A Woman Betrayed&#39; and &#39;Suddenly&#39;.",Fiction,28
100,100,0061094595,Calder Pride,Janet Dailey,2000,HarperTorch,http://images.amazon.com/images/P/0061094595.01.LZZZZZZZ.jpg,"Cat Calder&#39;s one-time affair with a gray-eyed stranger passing
through town produces a beautiful child she is determined to raise as
a Calder, but when a new gray-eyed Sheriff arrives in town, vicious
gossip ensues. Reprint.",Fiction,26
101,101,0064401774,More Scary Stories To Tell In The Dark,Alvin Schwartz,1986,HarperTrophy,http://images.amazon.com/images/P/0064401774.01.LZZZZZZZ.jpg,"All those who enjoyed shuddering their way through Alvin
Schwartz&#39;s first volume of Scary Stories To Tell In The Dark will
find a satisfyingly spooky sequel in this new collection of the
macabre, the funny, and the fantastic.",Juvenile Fiction,20
102,102,0064471047,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,1994,HarperCollins,http://images.amazon.com/images/P/0064471047.01.LZZZZZZZ.jpg,"Four English schoolchildren find their way through the back of a
wardrobe into the magic land of Narnia and assist Aslan, the golden
lion, to triumph over the White Witch, who has cursed the land with
eternal winter.",Juvenile Fiction,75
103,103,0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest,http://images.amazon.com/images/P/0064472264.01.LZZZZZZZ.jpg,Georgia Nicolson has started dating the Sex God (aka Robbie).,Juvenile Fiction,38
104,104,0066238501,Complete Chronicles of Narnia,C. S. Lewis,2001,Harpercollins Juvenile Books,http://images.amazon.com/images/P/0066238501.01.LZZZZZZZ.jpg,"This edition presents all seven books -- unabridged -- in one
impressive volume. The books are presented here according to
Lewis&#39; preferred order, each chapter graced with an illustration
by the original artist, Pauline Baynes.",Fiction,29
105,105,014100018X,Chocolat,Joanne Harris,2000,Penguin Books,http://images.amazon.com/images/P/014100018X.01.LZZZZZZZ.jpg,"Hailed as &quot;an amazement of riches few readers will be able to
resist&quot; by The New York Times Book Review, Chocolat is a timeless
and enchanting story about temptation, pleasure, and what a complete
waste of time it is to deny yourself ...",Fiction,318
106,106,0141301066,Matilda,Roald Dahl,1998,Puffin Books,http://images.amazon.com/images/P/0141301066.01.LZZZZZZZ.jpg,"Matilda applies her untapped mental powers to rid the school of the
evil, child-hating headmistress, Miss Trunchbull, and restore her nice
teacher, Miss Honey, to financial security.",Juvenile Fiction,104
107,107,0141301104,The Witches (Puffin Novels),Roald Dahl,1998,Puffin Books,http://images.amazon.com/images/P/0141301104.01.LZZZZZZZ.jpg,"This is not a fairy tale. This is about real witches. Grandmamma loves
to tell about witches. Real witches are the most dangerous of all
living creatures on earth.",Juvenile Fiction,28
108,108,0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg,"After her &quot;stand-in mother,&quot; a bold black woman named
Rosaleen, insults the three biggest racists in town, Lily Owens joins
Rosaleen on a journey to Tiburon, South Carolina, where they are taken
in by three black, bee-keeping sisters.",Fiction,736
109,109,0312305060,The Hours: A Novel,Michael Cunningham,2002,Picador,http://images.amazon.com/images/P/0312305060.01.LZZZZZZZ.jpg,"By the end of the novel, these three stories intertwine in remarkable
ways, and finally come together in an act of subtle and haunting
grace. The Hours is the winner of the 1999 Pulitzer Prize for Fiction.",Fiction,278
110,110,0312890044,Moonheart (Newford),Charles de Lint,1994,Orb Books,http://images.amazon.com/images/P/0312890044.01.LZZZZZZZ.jpg,"Sara Kendall and Kieran Foy become trapped in the midst of the eternal
battle between good and evil, in a tale of magic and romance that
moves from ancient Wales to modern Canada",Fiction,22
111,111,0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,http://images.amazon.com/images/P/0345384466.01.LZZZZZZZ.jpg,"From the author of the extraordinary Vampire Chronicles comes a huge
mesmerizing novel of witchcraft and the occult through four centuries.",Fiction,232
112,112,0345387651,The Cider House Rules,John Irving,1994,Ballantine Books,http://images.amazon.com/images/P/0345387651.01.LZZZZZZZ.jpg,"The practices of Dr. Wilbur Larch--obstetrician, orphanage director,
ether addict, and abortionist--are hindered, abetted, and continued,
in turn, by his favorite orphan, Homer Wells",Fiction,283
113,113,0373218400,Table For Two,Nora Roberts,2002,Silhouette,http://images.amazon.com/images/P/0373218400.01.LZZZZZZZ.jpg,"Table For Two by Nora Roberts released on Oct 25, 2002 is available
now for purchase.",Fiction,106
114,114,0373226144,"Familiar Lullaby (Fear Familiar) (Harlequin Intrigue, No 614)",Caroline Burnes,2001,Harlequin,http://images.amazon.com/images/P/0373226144.01.LZZZZZZZ.jpg,"Familiar Lullaby by Caroline Burnes released on Apr 24, 2001 is
available now for purchase.",Fiction,34
115,115,0375503269,Anonymous Rex: A Detective Story,Eric Garcia,1999,Villard Books,http://images.amazon.com/images/P/0375503269.01.LZZZZZZZ.jpg,"As this very funny book shows, for one thing, L.A. would be even
weirder than it is now.&quot; --Dave Barry Vincent Rubio, a Los
Angeles private investigator, is down on his luck: He&#39;s out of
work. His car&#39;s been repossessed.",Fiction,36
116,116,0375724370,Anil's Ghost (Vintage International),Michael Ondaatje,2001,Vintage Books USA,http://images.amazon.com/images/P/0375724370.01.LZZZZZZZ.jpg,"A forensic pathologist returns to Sri Lanka--after 15 years abroad--to
assist in identifying victims of the country&#39;s civil war.",Fiction,51
117,117,0375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library,http://images.amazon.com/images/P/0375751513.01.LZZZZZZZ.jpg,"The handsome appearance of dissolute young Dorian Gray remains
unchanged while the features in his portrait become distorted as his
degeneration progresses",Fiction,22
118,118,0375823468,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375823468.01.LZZZZZZZ.jpg,"As the boundaries between worlds begin to dissolve, Lyra and her
daemon help Will Parry in his search for his father and for a
powerful, magical knife.",Juvenile Fiction,154
119,119,0380789019,Neverwhere,Neil Gaiman,1998,Avon,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg,"He has fallen through the cracks of reality and has landed somewhere
different, somewhere that is Neverwhere.",Fiction,222
120,120,0380789035,American Gods,Neil Gaiman,2002,HarperTorch,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg,Shadow is a man with a past.,Fiction,290
121,121,0380973650,American Gods: A Novel,Neil Gaiman,2001,William Morrow,http://images.amazon.com/images/P/0380973650.01.LZZZZZZZ.jpg,"Magnificently told, this work of literary magic will haunt the reader
far beyond the final page.",Fiction,64
122,122,0380977281,Stardust,Neil Gaiman,1999,William Morrow,http://images.amazon.com/images/P/0380977281.01.LZZZZZZZ.jpg,"Living in a Victorian countryside town overshadowed by a imposing
stone barrier, Tristran is compelled to retrieve a fallen star for the
woman he loves and crosses to the wondrous other side of the barrier,
where he encounters dangerous ...",Fiction,99
123,123,0380977788,Coraline,Neil Gaiman,2002,HarperCollins,http://images.amazon.com/images/P/0380977788.01.LZZZZZZZ.jpg,"The day after they moved in, Coraline went exploring.... In
Coraline&#39;s family&#39;s new flat are twenty-one windows and
fourteen doors. Thirteen of the doors open and close.",Juvenile Fiction,165
124,124,038533348X,Cat's Cradle,Kurt Vonnegut,1998,Delta,http://images.amazon.com/images/P/038533348X.01.LZZZZZZZ.jpg,"A young writer decides to interview the children of a scientist
primarily responsible for the creation of the atomic bomb",Fiction,53
125,125,0399146431,The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group,http://images.amazon.com/images/P/0399146431.01.LZZZZZZZ.jpg,"Struggling to regain her voice and express her true feelings to her
husband, ghostwriter Ruth Young discovers that her inability to speak
closely parallels the story of her mother LuLing&#39;s early life in
China, where Ruth finds the famous ...",Fiction,112
126,126,0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg,"The classic tale of a group of English school boys who are left
stranded on an unpopulated island, and who must confront not only the
defects of their society but the defects of their own nature.",Fiction,246
127,127,0425177009,Lavender Lies: A China Bayles Mystery (Prime Crime Mysteries),Susan Wittig Albert,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425177009.01.LZZZZZZZ.jpg,"As former lawyer-turned-herbalist China Bayles prepares her wedding,
the festivities are interrupted by a most uncooperative corpse.",Fiction,26
128,128,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg,"In Harry Potter and the Chamber of Secrets, the summer after Harry’s
first year at Hogwarts has been his worst summer ever… the Dursleys
more distant and horrible than ever before.",Juvenile Fiction,161
129,129,0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg,"During his third year at Hogwarts School for witchcraft and wizardry,
Harry Potter must confront the devious and dangerous wizard
responsable for his parents death.",Juvenile Fiction,193
130,130,0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg,"The fourth title in the continuing saga includes Harry&#39;s latest
adventure at Hogwarts School of Witchcraft and Wizardry.",Juvenile Fiction,368
131,131,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg,"Collects the complete series that relates the adventures of young
Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry,
where he and others of his kind learn their craft.",Juvenile Fiction,333
132,132,0440211263,Circle of Friends,Maeve Binchy,1991,Dell,http://images.amazon.com/images/P/0440211263.01.LZZZZZZZ.jpg,"Two friends who grew up together in a small Irish village attend
college in Dublin, where their lives become intertwined with the
beautiful Nan Mahon and Jack Foley, the handsome son of a doctor",Fiction,223
133,133,0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,http://images.amazon.com/images/P/0440241413.01.LZZZZZZZ.jpg,"Financial journalist Rebecca Bloomwood seeks solace from the boredom
and pressures in life with her shopping, a solution that brings her
close to financial disaster, until she encounters a story that will
change her life.",Fiction,76
